id	Species	Year	Type	State	Date	Location	Latitude	Longitude	Range	Region	Elevation	Time	Band.	Sex	Age	Blood	Fecal	CP	Photo	Measurer	Wing	Tail	Tarsus	Notes	Bill_Culmen	Bill_Exposed	Bill_Depth	Bill_Width	W_bar	W_bar_width	Chin_throat	Chin	Throat	Nape	Back	Rump	Breast	Belly	Sum	Complete_plumage	Plumage_score	Treatment.2021	Age.2021	Mass	Box	Nest	sum2	Plumage_score2	Tot_for_plu_sc
EXTR-NEG-2022-1	NA	2022	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
EXTR-NEG-2022-2	NA	2022	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
JL-NEG-EXT-1	NA	2021	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
MB-EXT-NEG-1	NA	2021	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NEG-EXTR-1	NA	2020	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NEG-EXTR-2	NA	2020	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-1	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-4	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-6	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-8	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-9	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-9	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
SF11T01	GWWA	2019	sample	PA	11-Jun	Scotia Barrens	40.780724	-77.95261	Sympatric	Central	381	7:02	284029494	M	AHY	Y	Y	3	Cannon	DPT	60	45	16.6	"Plus blood smear Slide. Bill: N-T (8.5), L (10.9), W (3.3), D (3.7)"	8.5	10.9	3.7	3.3	5	2	2	0	2	4	3	3	4	3	26	Y	0.1875	NA	NA	NA	NA	NA	26	0.1875	
SF11T02	GWWA	2019	sample	PA	11-Jun	Scotia Barrens	40.780301	-77.951524	Sympatric	Central	380	7:45	284029495	M	AHY	Y	Y	3	Cannon	DPT	62	46	17.8	"Plus blood smear Slide. Bill: N-T (8.4), L (11.0), W (3.4), D (3.5)"	8.4	11	3.5	3.4	5	2	2	0	2	4	4	4	4	4	29	Y	0.09375	NA	NA	NA	NA	NA	29	0.09375	
SF11T03	GWWA	2019	sample	PA	11-Jun	Scotia Barrens	40.777808	-77.95503	Sympatric	Central	376	8:39	284029496	M	AHY	Y	Y	3	Cannon	DPT	54	49	17.1	"Plus blood smear Slide. Bill: N-T (9.4), L (11.5), W (3.0), D (3.2). Touch of yellow on breast. Greener poop, similar to T02"	9.4	11.5	3.2	3	5	2	2	0	2	3	2	2	3	3	22	Y	0.3125	NA	NA	NA	NA	NA	22	0.3125	
SF15T01	BWWA	2019	sample	PA	15-Jun	Bald Eagle	41.001225	-77.689139	Sympatric	Central	198	9:17	283030001	M	AHY	Y	Y	3	Cannon	DPT	61	48	17		8.2	10.6	3.3	3.2	2	1	0	0	0	0	0	0	0	0	3	Y	0.90625	NA	NA	NA	NA	NA	3	0.90625	
TE27T01	GWWA	2020	sample	PA	27-May	Scotia Barrens	40.780638	-77.952256	Sympatric	Central	384	6:13	283030076	F	AHY	Y	Y	0	Y-Canon	DPT	61	46	16.8	Tick found in bag	7.9	10.3	3.6	3.2	4	3	22	2	2	3	3	4	4	4	25	Y	0.21875	NA	NA	NA	NA	NA	29	0.09375	
TE27T02	GWWA	2020	sample	PA	27-May	Scotia Barrens	40.780638	-77.952256	Sympatric	Central	384	6:13	284029494	M	ASY	N	Y	3	Y-Canon	DPT	61	46	16.7	*Recap*	8.7	10.9	3.7	3.3	5	1	22	2	2	4	4	4	4	4	26	Y	0.1875	NA	NA	NA	NA	NA	30	0.0625	
TE27T03	GWWA	2020	sample	PA	27-May	Scotia Barrens	40.779033	-77.951062	Sympatric	Central	383	7:38	284029495	M	ASY	N	Y	3	Y-Canon	DPT	62	46	17.9	*Recap*	8.5	10.7	3.5	3.4	5	2	22	2	2	4	4	4	3	4	26	Y	0.1875	NA	NA	NA	NA	NA	30	0.0625	
TE27T04	GWWA	2020	sample	PA	27-May	Scotia Barrens	40.77798	-77.955011	Sympatric	Central	376	8:48	283030077	M	AHY	Y	Y	3	Y-Canon	DPT	62	48	16.6	Mites from P3	8.1	10.5	3.4	3.2	4	2	22	2	2	4	3	4	3	4	24	Y	0.25	NA	NA	NA	NA	NA	28	0.125	
TE27T05	GWWA	2020	sample	PA	27-May	Scotia Barrens	40.775167	-77.960357	Sympatric	Central	373	9:50	283030078	M	AHY	Y	Y	3	Y-Canon	DPT	62	49	16.9		8.5	11.1	3.7	3.2	4	1	22	2	2	3	3	3	3	3	20	Y	0.375	NA	NA	NA	NA	NA	24	0.25	
TE28T01	GWWA	2020	sample	PA	28-May	Scotia Barrens	40.767953	-77.969308	Sympatric	Central	363	6:36	283030079	M	AHY	Y	Y	3	Y-Canon	DPT	62	48	17.1		8.5	11.1	3.5	3.2	5	2	22	2	2	4	4	4	4	4	27	Y	0.15625	NA	NA	NA	NA	NA	31	0.03125	
